== 1
run,"C:\Users\f090393\Desktop\CodeV_prove\Updated_macro\macro_op_CLAUDIA_improved.seq";GO
1029.999988,4.250034,2.999534
1029.999989,4.250031,2.749528
1029.999990,4.250028,2.499522
1029.999991,4.250026,2.249517
1029.999992,4.250023,1.999513
1029.999993,4.250020,1.749509
1029.999994,4.250017,1.499506
1029.999995,4.250014,1.249503
1029.999996,4.250011,0.999501
1029.999997,4.250008,0.749499
1029.999998,4.250006,0.499497
1029.999999,4.250003,0.249497
1030.000000,4.250000,-0.000504
1030.000001,4.249997,-0.250503
1030.000002,4.249994,-0.500503
1030.000003,4.249991,-0.750501
1030.000004,4.249988,-1.000499
1030.000005,4.249986,-1.250497
1030.000006,4.249983,-1.500494
1030.000007,4.249980,-1.750491
1030.000008,4.249977,-2.000487
1030.000009,4.249974,-2.250483
1030.000010,4.249971,-2.500478
1030.000011,4.249969,-2.750472
1030.000012,4.249966,-3.000466
1030.000013,4.249963,-3.250460
1030.000013,4.249960,-3.500453
1030.000014,4.249958,-3.750446
1030.000015,4.249955,-4.000438
1030.000016,4.249952,-4.250430
1030.000017,4.249950,-4.500421
1029.999982,4.000050,4.749586
1029.999983,4.000047,4.499576
1029.999984,4.000045,4.249567
1029.999985,4.000042,3.999559
1029.999986,4.000040,3.749551
1029.999986,4.000037,3.499544
1029.999987,4.000035,3.249537
1029.999988,4.000032,2.999531
1029.999989,4.000029,2.749525
1029.999990,4.000027,2.499519
1029.999991,4.000024,2.249514
1029.999992,4.000021,1.999510
1029.999993,4.000019,1.749506
1029.999994,4.000016,1.499503
1029.999995,4.000013,1.249500
1029.999996,4.000011,0.999497
1029.999997,4.000008,0.749496
1029.999998,4.000005,0.499494
1029.999999,4.000003,0.249494
1030.000000,4.000000,-0.000507
1030.000001,3.999997,-0.250506
1030.000002,3.999994,-0.500506
1030.000003,3.999992,-0.750504
1030.000004,3.999989,-1.000503
1030.000005,3.999986,-1.250500
1030.000006,3.999984,-1.500497
1030.000007,3.999981,-1.750494
1030.000008,3.999978,-2.000490
1030.000009,3.999976,-2.250486
1030.000010,3.999973,-2.500481
1030.000011,3.999970,-2.750475
1030.000012,3.999968,-3.000469
1030.000013,3.999965,-3.250463
1030.000013,3.999963,-3.500456
1030.000014,3.999960,-3.750449
1030.000015,3.999958,-4.000441
1030.000016,3.999955,-4.250433
1030.000017,3.999953,-4.500424
1030.000018,3.999950,-4.750415
1029.999981,3.750049,4.999593
1029.999982,3.750047,4.749583
1029.999983,3.750044,4.499574
1029.999984,3.750042,4.249565
1029.999985,3.750040,3.999556
1029.999985,3.750037,3.749549
1029.999986,3.750035,3.499541
1029.999987,3.750033,3.249534
1029.999988,3.750030,2.999528
1029.999989,3.750028,2.749522
1029.999990,3.750025,2.499516
1029.999991,3.750023,2.249512
1029.999992,3.750020,1.999507
1029.999993,3.750018,1.749503
1029.999994,3.750015,1.499500
1029.999995,3.750013,1.249497
1029.999996,3.750010,0.999495
1029.999997,3.750008,0.749493
1029.999998,3.750005,0.499491
1029.999999,3.750002,0.249491
1030.000000,3.750000,-0.000510
1030.000001,3.749997,-0.250509
1030.000002,3.749995,-0.500509
1030.000003,3.749992,-0.750507
1030.000004,3.749990,-1.000505
1030.000005,3.749987,-1.250503
1030.000006,3.749985,-1.500500
1030.000007,3.749982,-1.750497
1030.000008,3.749980,-2.000493
1030.000009,3.749977,-2.250488
1030.000010,3.749975,-2.500484
1030.000011,3.749972,-2.750478
1030.000012,3.749970,-3.000472
1030.000013,3.749967,-3.250466
1030.000014,3.749965,-3.500459
1030.000014,3.749962,-3.750451
1030.000015,3.749960,-4.000444
1030.000016,3.749958,-4.250435
1030.000017,3.749955,-4.500426
1030.000018,3.749953,-4.750417
1030.000019,3.749951,-5.000407
1029.999981,3.500046,4.999590
1029.999982,3.500044,4.749580
1029.999983,3.500042,4.499571
1029.999984,3.500039,4.249562
1029.999985,3.500037,3.999554
1029.999985,3.500035,3.749546
1029.999986,3.500033,3.499539
1029.999987,3.500030,3.249532
1029.999988,3.500028,2.999525
1029.999989,3.500026,2.749519
1029.999990,3.500024,2.499514
1029.999991,3.500021,2.249509
1029.999992,3.500019,1.999504
1029.999993,3.500017,1.749501
1029.999994,3.500014,1.499497
1029.999995,3.500012,1.249494
1029.999996,3.500009,0.999492
1029.999997,3.500007,0.749490
1029.999998,3.500005,0.499489
1029.999999,3.500002,0.249488
1030.000000,3.500000,-0.000512
1030.000001,3.499998,-0.250512
1030.000002,3.499995,-0.500511
1030.000003,3.499993,-0.750510
1030.000004,3.499990,-1.000508
1030.000005,3.499988,-1.250506
1030.000006,3.499986,-1.500503
1030.000007,3.499983,-1.750499
1030.000008,3.499981,-2.000496
1030.000009,3.499979,-2.250491
1030.000010,3.499976,-2.500486
1030.000011,3.499974,-2.750481
1030.000012,3.499972,-3.000475
1030.000013,3.499969,-3.250468
1030.000014,3.499967,-3.500461
1030.000014,3.499965,-3.750454
1030.000015,3.499963,-4.000446
1030.000016,3.499960,-4.250438
1030.000017,3.499958,-4.500429
1030.000018,3.499956,-4.750420
1030.000019,3.499954,-5.000410
1029.999980,3.250045,5.249598
1029.999981,3.250043,4.999588
1029.999982,3.250041,4.749578
1029.999983,3.250039,4.499569
1029.999984,3.250037,4.249560
1029.999985,3.250035,3.999552
1029.999985,3.250033,3.749544
1029.999986,3.250030,3.499536
1029.999987,3.250028,3.249529
1029.999988,3.250026,2.999523
1029.999989,3.250024,2.749517
1029.999990,3.250022,2.499511
1029.999991,3.250020,2.249506
1029.999992,3.250018,1.999502
1029.999993,3.250015,1.749498
1029.999994,3.250013,1.499495
1029.999995,3.250011,1.249492
1029.999996,3.250009,0.999489
1029.999997,3.250007,0.749488
1029.999998,3.250004,0.499486
1029.999999,3.250002,0.249485
1030.000000,3.250000,-0.000515
1030.000001,3.249998,-0.250515
1030.000002,3.249995,-0.500514
1030.000003,3.249993,-0.750512
